NASA	NASA
UNESCO	yoo neh sko
UNICEF	UNICEF
DNA	DNA
RNA	RNA
AI	AI
Władysław	Vladiswav
Władysław's	Vladiswav's
Jagiełło	Yahg yehwo
Jagiełło's	Yahg yehwo's
Jogaila	Yo guyla
Jogaila's	Yo guyla's
Vytautas	Veetowtas
Wkra	Vukra
Dobrzyń	Dob zhin
Białowieża	Byahwovyezha
złoty	zwoty
Raciąż	Rah chonzh
Navahrudak	Nava hroodak
Shepseskaf	Shep sess kaf
Shepseskaf's	Shep sess kaf's
Soegijapranata	Soo geeya prah nahta
Soegijapranata's	Soo geeya prah nahta's
Soegija	Soogeeya
Soegija's	Soogeeya's
Æthelwulf	Athel wulf
Æthelwulf's	Athel wulf's
Złotoryja	Zwo toree ya
